code,name,annualKwh,retailRate,exportRate,exportFactor,nettingPeriod,creditExpiry,retailShare,costPerWatt,grossCost,incentives,netCost,srecPerMwh,extraAnnualCost,yearOneSaving,paybackSimple,paybackAccurate,netReturn25,verdict,rank,sourceUrl,checked
IL,Illinois,8700,0.165,0.0726,0.44,instantaneous,annual,0.65,3.06,18360.0,10940.0,7420.0,0,0.0,1154.14,6.4,6.8,26376.0,excellent,1,https://illinoisshines.com/,2026-09-04
DE,Delaware,8700,0.165,0.165,1.0,annual,annual,0.95,2.7,16200.0,4200.0,12000.0,0,0.0,1435.5,8.4,8.4,31388.0,good,2,https://depsc.delaware.gov/,2026-08-28
NJ,New Jersey,8700,0.165,0.165,1.0,annual,annual,0.95,2.98,17880.0,0.0,17880.0,77,0.0,2105.4,8.5,8.6,41288.0,good,3,https://njcleanenergy.com/renewable-energy/programs/successor-solar-incentive-susi-program,2026-08-15
MD,Maryland,8700,0.165,0.165,1.0,annual,never,0.95,2.88,17280.0,0.0,17280.0,56,0.0,1922.7,9.0,9.0,37585.0,good,4,https://www.psc.state.md.us/,2026-08-15
NY,New York,8700,0.165,0.165,1.0,annual,annual,0.95,3.3,19800.0,6150.0,13650.0,0,101.52,1333.98,10.2,10.1,27200.0,good,5,https://www.nyserda.ny.gov/All-Programs/NY-Sun,2026-08-15
MA,Massachusetts,8700,0.165,0.165,1.0,annual,annual,0.95,3.15,18900.0,1000.0,17900.0,30,0.0,1696.5,10.6,10.4,31636.0,good,6,https://www.mass.gov/info-details/smart-program-details,2026-08-15
FL,Florida,8700,0.165,0.0413,0.25,annual,annual,0.95,2.45,14700.0,0.0,14700.0,0,0.0,1381.69,10.6,10.5,26854.0,good,7,https://www.floridapsc.com/,2026-08-13
PA,Pennsylvania,8700,0.165,0.0924,0.56,annual,annual,0.95,2.93,17580.0,0.0,17580.0,28,0.0,1647.52,10.7,10.5,30470.0,good,8,https://www.puc.pa.gov/,2026-08-15
NM,New Mexico,8700,0.165,0.165,1.0,annual,never,0.95,2.88,17280.0,1728.0,15552.0,0,0.0,1435.5,10.8,10.6,27836.0,good,9,https://www.emnrd.nm.gov/,2026-08-19
SC,South Carolina,8700,0.165,0.0264,0.16,monthly,annual,0.85,2.85,17100.0,3500.0,13600.0,0,0.0,1254.63,10.8,10.7,23622.0,good,10,https://dor.sc.gov/,2026-08-13
